Year_Record|State_Code|Route_ID|Begin_Point|End_Point|Data_Item|Section_Length|Value_Numeric|Value_Text|Value_Date|Comments
2021|54|01200330000EB|0.0|1.87|Terrain_Type|1.87|2|||
2021|54|01201190000NB|6.95|9.29|Terrain_Type|2.34|1|||
2021|54|01201190000NB|10.66|11.5|Terrain_Type|0.84|2|||
2021|54|0130020000000|0.0|2.15|Terrain_Type|2.15|1|||
2021|54|0130038000000|0.43|2.43|Terrain_Type|2.0|1|||
2021|54|0130038000000|5.53|6.31|Terrain_Type|0.78|2|||
2021|54|0130076000000|1.75|6.62|Terrain_Type|4.87|2|||
2021|54|0130092000000|8.64|10.73|Terrain_Type|2.09|1|||
2021|54|0140006000000|0.11|3.13|Terrain_Type|3.02|3|||
2021|54|0140010000000|7.41|8.63|Terrain_Type|1.22|2|||
2021|54|0140011000000|3.05|3.78|Terrain_Type|0.73|1|||
2021|54|0140024000000|1.64|2.79|Terrain_Type|1.15|3|||
2021|54|0140024000000|2.79|4.74|Terrain_Type|1.95|2|||
2021|54|0140030000000|6.14|6.83|Terrain_Type|0.69|2|||
2021|54|0140030070000|0.0|0.92|Terrain_Type|0.92|2|||
2021|54|0140030070000|0.92|2.0|Terrain_Type|1.08|2|||
2021|54|0140046010000|0.0|1.62|Terrain_Type|1.62|2|||
2021|54|0230009000000|0.35|2.2|Terrain_Type|1.85|2|||
2021|54|0230009000000|4.81|6.17|Terrain_Type|1.36|2|||
2021|54|0230009000000|6.17|6.27|Terrain_Type|0.1|2|||
2021|54|0230051000000|1.87|2.841|Terrain_Type|0.971|2|||
2021|54|0240005000000|5.9|7.94|Terrain_Type|2.04|2|||
2021|54|0240009050000|1.67|3.26|Terrain_Type|1.59|2|||
2021|54|03201190000NB|0.0|2.93|Terrain_Type|2.93|3|||
2021|54|03201190000NB|9.44|11.49|Terrain_Type|2.05|3|||
2021|54|03201190000NB|11.49|12.83|Terrain_Type|1.34|3|||
2021|54|03201190000NB|12.83|13.54|Terrain_Type|0.71|3|||
2021|54|03201190000NB|16.97|17.83|Terrain_Type|0.86|3|||
2021|54|0330003000000|8.17|11.14|Terrain_Type|2.97|3|||
2021|54|0330085000000|10.67|13.13|Terrain_Type|2.46|3|||
2021|54|0330085000000|34.05|34.35|Terrain_Type|0.3|3|||
2021|54|0330094000000|0.0|3.01|Terrain_Type|3.01|3|||
2021|54|0330099000000|0.0|1.84|Terrain_Type|1.84|3|||
2021|54|0340005000000|5.42|6.96|Terrain_Type|1.54|3|||
2021|54|0340005000000|15.1|17.57|Terrain_Type|2.47|3|||
2021|54|0340006000000|2.99|5.53|Terrain_Type|2.54|3|||
2021|54|04100790000NB|44.6|46.22|Terrain_Type|1.62|3|||
2021|54|04100790000NB|46.22|49.73|Terrain_Type|3.51|3|||
2021|54|04100790000NB|49.73|50.35|Terrain_Type|0.62|3|||
2021|54|04100790000NB|50.35|51.61|Terrain_Type|1.26|3|||
2021|54|04100790000NB|51.61|52.61|Terrain_Type|1.0|3|||
2021|54|04100790000NB|52.61|53.27|Terrain_Type|0.66|3|||
2021|54|04100790000NB|53.27|54.18|Terrain_Type|0.91|3|||
2021|54|04100790000NB|54.18|57.51|Terrain_Type|3.33|3|||
2021|54|04100790000NB|57.51|59.0|Terrain_Type|1.49|3|||
2021|54|04100790000NB|59.0|61.47|Terrain_Type|2.47|3|||
2021|54|04100790000NB|61.47|62.04|Terrain_Type|0.57|3|||
2021|54|04100790000NB|62.04|63.46|Terrain_Type|1.42|3|||
2021|54|04100790000NB|63.46|64.83|Terrain_Type|1.37|3|||
2021|54|04100790000NB|64.83|67.52|Terrain_Type|2.69|3|||
2021|54|04100790000NB|67.52|69.32|Terrain_Type|1.8|3|||
2021|54|04100790000NB|69.32|70.83|Terrain_Type|1.51|3|||
2021|54|04100790000NB|70.83|78.41|Terrain_Type|7.58|3|||
2021|54|04100790000NB|78.41|79.08|Terrain_Type|0.67|3|||
2021|54|04100790000NB|79.08|83.15|Terrain_Type|4.07|3|||
2021|54|04200190000NB|26.57|27.64|Terrain_Type|1.07|3|||
2021|54|0440032000000|6.27|6.5|Terrain_Type|0.23|1|||
2021|54|0530027000000|1.58|2.26|Terrain_Type|0.68|3|||
2021|54|0530067000000|6.14|6.71|Terrain_Type|0.57|3|||
2021|54|0630002000000|9.98|10.08|Terrain_Type|0.1|2|||
2021|54|0630002000000|14.38|17.99|Terrain_Type|3.61|1|||
2021|54|0640017000000|4.05|4.17|Terrain_Type|0.12|2|||
2021|54|0640017000000|4.3|4.41|Terrain_Type|0.11|2|||
2021|54|0640017000000|4.47|5.02|Terrain_Type|0.55|1|||
2021|54|07200330000EB|0.09|2.33|Terrain_Type|2.24|1|||
2021|54|07200330000EB|3.68|5.03|Terrain_Type|1.35|3|||
2021|54|07200330000EB|5.59|6.2|Terrain_Type|0.61|1|||
2021|54|07200330000EB|6.2|6.6|Terrain_Type|0.4|1|||
2021|54|07200330000EB|6.62|8.3|Terrain_Type|1.68|2|||
2021|54|07200330000EB|10.13|14.3|Terrain_Type|4.17|3|||
2021|54|07200330000EB|14.3|14.86|Terrain_Type|0.56|1|||
2021|54|0730005000000|12.09|12.62|Terrain_Type|0.53|1|||
2021|54|0740004000000|0.0|0.67|Terrain_Type|0.67|2|||
2021|54|0740011000000|6.9|7.85|Terrain_Type|0.95|2|||
2021|54|08100790000NB|36.0|39.91|Terrain_Type|3.91|3|||
2021|54|08100790000NB|39.91|41.43|Terrain_Type|1.52|3|||
2021|54|08100790000NB|41.43|44.6|Terrain_Type|3.17|3|||
2021|54|0830004000000|15.75|19.01|Terrain_Type|3.26|3|||
2021|54|0830004000000|21.98|22.98|Terrain_Type|1.0|3|||
2021|54|0830016000000|19.19|20.35|Terrain_Type|1.16|3|||
2021|54|0830036000000|2.48|4.2|Terrain_Type|1.72|3|||
2021|54|09200500000EB|0.0|3.98|Terrain_Type|3.98|3|||
2021|54|09200500000EB|3.98|5.61|Terrain_Type|1.63|2|||
2021|54|09200500000EB|5.63|6.54|Terrain_Type|0.91|3|||
2021|54|09200500000EB|8.26|8.8|Terrain_Type|0.54|3|||
2021|54|09200500000EB|8.8|9.75|Terrain_Type|0.95|3|||
2021|54|09200500000EB|9.75|11.01|Terrain_Type|1.26|3|||
2021|54|09200500000EB|11.43|12.1|Terrain_Type|0.67|2|||
2021|54|09200500000EB|12.1|12.96|Terrain_Type|0.86|2|||
